appointment_id,patient,prep_nurse,physician,start_time,end_time,examination_room
158,567-20-0658,175,36,8/31/2001,9/4/2001,Z
159,323-81-3050,64,72,7/28/2008,8/1/2008,B
160,340-13-6121,152,73,4/28/2018,4/29/2018,G
161,676-73-4613,153,78,7/17/2002,7/24/2002,O
162,788-16-9577,28,5,7/17/2000,7/23/2000,I
163,110-28-3575,130,44,6/28/2014,7/1/2014,O
164,860-83-8404,153,42,11/4/2015,11/9/2015,I
165,555-98-0231,89,70,9/10/1999,9/12/1999,B
166,690-75-6196,94,7,1/15/2000,1/19/2000,M
167,121-19-1174,94,68,9/18/2020,9/25/2020,R
168,158-18-9400,7,84,2/8/2002,2/12/2002,S
169,618-52-7728,112,76,9/28/2015,10/4/2015,M
170,508-05-1248,138,76,8/31/2006,9/8/2006,B
171,531-20-8529,83,8,12/17/2017,12/19/2017,F
172,580-54-0029,162,49,5/16/2014,5/21/2014,P
173,343-19-0001,142,63,9/29/2001,10/3/2001,F
174,657-30-5371,140,57,11/5/2020,11/13/2020,C
175,398-91-9508,137,28,4/7/2021,4/12/2021,K
176,456-44-6934,132,61,8/19/2004,8/26/2004,V
177,454-39-0668,4,63,1/14/2012,1/19/2012,P
178,745-17-9823,186,9,1/26/2006,1/30/2006,D
179,140-38-0005,73,98,5/21/2014,5/27/2014,H
180,228-22-7352,34,56,7/9/2016,7/14/2016,D
181,254-61-3718,26,95,2/19/2001,2/24/2001,I
182,536-81-2337,75,68,7/12/2009,7/18/2009,Q
183,163-82-9537,13,76,12/26/2002,1/2/2003,Y
184,810-68-0178,185,17,9/29/2020,10/7/2020,R
185,445-13-5185,4,61,5/13/2021,5/20/2021,B
186,476-88-8988,187,26,1/12/2015,1/17/2015,U
187,348-97-5358,134,20,8/7/2001,8/11/2001,V
188,538-26-4262,63,85,1/30/2021,2/2/2021,R
189,395-57-7223,53,5,8/3/2001,8/6/2001,D
190,393-98-8553,79,89,8/1/2008,8/7/2008,B
191,772-31-0885,34,78,8/3/2003,8/11/2003,O
192,281-72-1815,122,70,8/8/1998,8/15/1998,K
193,406-70-0982,116,100,2/19/2012,2/25/2012,I
194,661-05-0483,31,66,7/20/2021,7/24/2021,R
195,554-28-2579,194,59,10/7/2020,10/13/2020,G
196,774-23-5641,58,36,10/8/2017,10/16/2017,T
197,587-09-1324,83,60,3/31/2008,4/3/2008,Y
198,643-46-4552,77,58,3/1/2007,3/7/2007,Q
199,847-06-9064,72,60,2/13/2005,2/18/2005,T
200,500-12-4326,144,72,10/11/2015,10/14/2015,I
201,596-48-0170,49,25,4/5/1998,4/9/1998,G
202,606-10-6807,182,67,9/13/2015,9/16/2015,M
203,727-14-8591,91,8,7/17/2014,7/18/2014,U
204,748-30-3353,3,33,7/2/1998,7/10/1998,O
205,283-64-1075,189,38,1/27/2011,1/29/2011,D
206,104-01-8835,144,23,7/31/2021,8/4/2021,H
207,510-49-0533,52,40,4/16/2019,4/22/2019,V
208,236-67-9127,42,87,9/4/2021,9/8/2021,R
209,218-69-6802,31,27,3/12/1999,3/20/1999,B
210,639-50-3918,39,100,8/24/2010,8/30/2010,C
211,728-91-4975,172,89,3/22/2007,3/29/2007,L
212,827-87-2539,116,97,3/26/2000,3/28/2000,X
213,410-26-2006,166,22,4/4/2019,4/11/2019,Y
214,806-19-0113,80,96,5/19/2011,5/27/2011,U
215,744-10-1287,5,75,6/30/2005,7/6/2005,A
216,733-80-0500,136,27,5/27/2006,5/31/2006,L
217,800-25-8471,151,72,8/14/2020,8/20/2020,A
218,764-15-5344,75,31,12/16/2003,12/17/2003,Q
219,430-39-0939,64,28,10/3/2000,10/4/2000,J
220,361-18-2372,104,76,10/28/2019,11/3/2019,E
221,319-33-4555,198,88,2/27/2020,2/29/2020,I
222,888-52-7112,138,49,5/22/2021,5/29/2021,M
223,374-54-2299,146,92,8/17/2012,8/22/2012,J
224,517-16-4008,178,86,2/16/2017,2/17/2017,B
225,452-57-6605,167,74,6/15/2004,6/18/2004,N
226,638-69-8503,46,100,4/28/2005,5/6/2005,R
227,702-58-7484,97,15,8/15/2009,8/17/2009,Y
228,735-91-2466,10,27,9/21/2005,9/29/2005,A
229,594-97-4089,149,27,2/3/2020,2/6/2020,F
230,414-72-8285,34,62,7/2/2004,7/10/2004,X
231,475-34-1279,57,59,9/22/2021,9/25/2021,H
232,518-22-9480,95,77,4/8/2011,4/11/2011,V
233,100-83-8473,59,95,8/23/1999,8/28/1999,X
234,648-27-5290,184,3,5/6/2007,5/9/2007,P
235,181-48-7598,137,86,11/10/2014,11/11/2014,S
236,204-51-2178,58,58,10/21/2011,10/23/2011,F
237,190-01-0077,32,43,4/14/2003,4/16/2003,S
238,677-63-3788,85,63,9/11/2009,9/19/2009,T
239,246-13-9080,196,25,5/3/2011,5/7/2011,U
240,688-67-3798,103,26,1/6/2010,1/12/2010,J
241,626-80-6600,96,3,11/30/2005,12/5/2005,O
242,803-78-6560,138,35,12/27/2015,1/1/2016,K
243,832-01-4729,65,35,5/9/2010,5/12/2010,G
244,480-75-8167,192,78,5/8/2015,5/9/2015,S
245,675-12-2670,147,1,8/24/2020,8/26/2020,P
246,598-92-9947,148,12,10/29/2004,11/2/2004,F
247,363-62-0055,62,54,9/23/2001,9/29/2001,Q
248,520-88-9937,178,64,12/23/2020,12/29/2020,K
249,520-87-8515,170,73,3/23/2001,3/28/2001,P
250,256-34-5590,81,10,9/16/2002,9/20/2002,E
251,354-70-5518,26,4,9/1/2019,9/4/2019,K
252,770-02-7118,84,45,5/4/2003,5/10/2003,A
253,857-41-4100,91,64,9/17/2015,9/24/2015,E
254,683-81-7023,103,21,11/22/2007,11/26/2007,W
255,665-96-2856,180,92,1/31/2001,2/6/2001,g
256,127-46-7874,112,91,11/26/1998,11/30/1998,P
257,740-26-0935,56,59,6/15/2011,6/16/2011,T
258,556-87-2838,65,93,10/17/2007,10/22/2007,J
259,684-95-1408,96,98,3/4/2009,3/6/2009,H
260,378-05-9917,169,99,7/3/2006,7/4/2006,P
261,786-99-5431,9,4,4/10/2017,4/13/2017,G
262,877-06-8036,33,36,8/6/2005,8/9/2005,K
263,293-04-2803,3,47,12/24/2003,12/26/2003,R
264,284-32-0592,85,30,8/8/2019,8/13/2019,H
265,846-09-1800,198,73,2/11/2020,2/15/2020,F
266,384-28-3938,121,94,8/7/2010,8/8/2010,D
267,878-20-5187,113,59,11/30/1997,12/8/1997,E
268,321-76-6170,58,65,8/18/2007,8/25/2007,U
269,808-29-7153,103,51,11/21/2001,11/24/2001,Z
270,289-76-1318,5,48,5/3/2003,5/7/2003,O
271,528-87-8068,86,88,10/13/2006,10/15/2006,F
272,752-79-0977,163,72,8/21/2005,8/24/2005,Q
273,335-69-9994,188,41,12/19/2007,12/24/2007,U
274,556-97-5823,165,69,2/2/2011,2/5/2011,I
275,220-78-9278,165,28,3/19/2009,3/21/2009,C
276,318-59-6932,182,4,11/8/2001,11/15/2001,B
277,477-78-1067,128,7,2/14/2008,2/19/2008,J
278,535-58-9745,5,67,8/20/2010,8/27/2010,U
279,679-26-3884,161,20,3/15/2014,3/22/2014,U
280,303-38-3463,1,25,4/9/2003,4/13/2003,B
281,819-76-9250,53,6,1/27/2003,1/29/2003,N
282,126-22-0866,161,11,12/2/1999,12/6/1999,V
283,583-56-1884,200,13,6/9/2016,6/12/2016,W
284,338-90-8782,35,25,9/14/2011,9/22/2011,L
285,651-56-4187,23,4,12/20/1998,12/25/1998,H
286,437-52-9526,116,48,8/16/2017,8/21/2017,C
287,553-88-6959,102,70,3/11/2008,3/16/2008,G
288,505-71-5603,126,60,2/6/2005,2/7/2005,K
289,820-69-6956,162,11,2/22/2014,2/26/2014,T
290,609-31-0008,172,45,7/31/2020,8/1/2020,g
291,504-36-4446,7,29,5/30/2001,6/3/2001,G
292,393-13-1155,160,20,6/15/2004,6/17/2004,C
293,860-34-9718,118,31,3/10/2006,3/13/2006,P
294,199-53-0968,158,94,10/3/2015,10/4/2015,V
295,394-28-3901,148,66,6/18/2015,6/25/2015,Z
296,895-66-8487,196,64,6/17/1998,6/21/1998,K
297,277-92-7343,169,55,5/23/2007,5/24/2007,G
298,444-97-0797,136,3,2/2/2017,2/3/2017,K
299,783-70-3100,87,11,4/1/2002,4/3/2002,J
300,112-16-1512,142,3,11/11/2013,11/17/2013,Y
301,640-69-0847,148,37,4/11/2010,4/17/2010,L
302,266-43-0263,40,56,10/25/2016,10/28/2016,E
303,871-52-0794,32,78,5/13/2006,5/17/2006,M
304,574-91-6186,15,70,6/28/2019,7/3/2019,U
305,661-15-3798,128,44,3/19/2017,3/27/2017,T
306,114-70-2802,147,78,7/14/1998,7/18/1998,H
307,788-34-8808,120,93,10/20/1998,10/22/1998,H
308,364-14-4177,127,73,11/5/2002,11/12/2002,C
309,333-25-3824,14,45,8/8/2021,8/16/2021,B
310,386-25-4320,169,50,1/1/2002,1/6/2002,S
311,639-83-5820,11,17,9/30/2008,10/6/2008,A
312,248-02-2795,128,54,7/22/2003,7/27/2003,R
313,479-74-6570,35,80,8/25/2004,8/27/2004,L
314,495-12-7358,44,4,3/12/2020,3/16/2020,M
315,700-30-0365,113,84,2/4/2007,2/7/2007,Q
316,230-34-4294,51,82,6/20/2008,6/23/2008,S
317,395-63-9768,145,93,10/24/2002,10/31/2002,D
318,277-48-8668,102,70,12/22/2017,12/29/2017,O
319,543-94-1218,176,29,4/3/2011,4/4/2011,C
320,230-77-7882,82,81,10/12/1998,10/18/1998,Q
321,845-78-5523,188,45,8/8/2018,8/12/2018,D
322,415-36-2271,164,62,10/11/2007,10/19/2007,N
323,795-98-8022,158,72,6/2/2012,6/5/2012,A
324,272-85-6707,21,87,7/19/2010,7/26/2010,D
325,776-31-7188,135,90,12/11/2012,12/17/2012,G
326,620-55-8922,21,92,7/1/2021,7/3/2021,J
327,515-97-8303,1,13,5/12/2007,5/19/2007,V
328,219-53-5828,9,11,10/20/1999,10/24/1999,U
329,506-71-9394,194,10,11/25/2010,12/3/2010,S
330,696-82-5541,118,30,4/8/2000,4/9/2000,Z
331,120-38-1785,128,35,7/19/2013,7/25/2013,I
332,112-55-1297,152,61,3/27/2018,3/29/2018,N
333,739-99-6339,111,90,4/26/2007,5/1/2007,B
334,899-04-4263,81,42,1/21/2004,1/27/2004,W
335,408-17-1689,175,6,2/22/1998,2/27/1998,H
336,705-38-8542,169,63,3/13/1999,3/21/1999,Y
337,128-42-4132,66,73,2/4/2007,2/6/2007,V
338,607-28-9838,44,28,2/14/2008,2/15/2008,E
339,738-47-8600,25,88,8/5/2001,8/8/2001,Y
340,809-47-4676,194,100,11/22/2011,11/23/2011,N
341,868-41-1051,2,79,4/13/2016,4/21/2016,M
342,710-58-0469,190,36,2/2/2013,2/5/2013,B
343,895-43-7667,22,91,6/8/2005,6/12/2005,A
344,193-75-5474,52,40,9/19/2008,9/22/2008,A
345,120-51-0651,77,40,8/13/2019,8/19/2019,I
346,834-82-7510,158,91,12/15/2015,12/22/2015,F
347,764-90-7624,92,84,9/13/2015,9/20/2015,R
348,610-84-7778,112,24,3/21/2020,3/29/2020,R
349,687-20-0160,33,30,2/17/2010,2/23/2010,R
350,569-40-0040,178,95,3/3/2020,3/10/2020,C
351,798-92-5146,139,37,4/2/2018,4/5/2018,U
352,758-61-5065,187,25,9/2/2000,9/9/2000,H
353,212-98-1426,80,48,11/4/2013,11/8/2013,J
354,560-17-4612,162,32,3/10/2012,3/11/2012,V
355,187-31-7915,100,95,3/19/2001,3/22/2001,D
356,714-92-2070,28,29,6/12/2015,6/16/2015,T
357,486-70-4749,122,8,5/18/2011,5/20/2011,U
358,799-79-0954,181,35,6/6/2017,6/10/2017,G
359,280-83-9977,73,41,2/3/1999,2/8/1999,L
360,396-20-3645,150,52,6/8/2012,6/13/2012,K
361,393-84-4731,94,30,12/31/2003,1/4/2004,K
362,482-86-4849,135,49,4/2/1999,4/5/1999,B
363,162-21-3882,121,19,11/23/1998,11/29/1998,Y
364,768-20-5669,48,52,7/31/2005,8/4/2005,V
365,538-80-4009,141,32,1/15/2000,1/18/2000,G
366,640-27-2002,82,30,10/2/2013,10/4/2013,Q
367,606-42-8387,137,27,10/1/2017,10/4/2017,A
368,369-86-3090,143,66,4/11/2021,4/18/2021,H
369,473-06-0166,166,82,10/13/2001,10/17/2001,H
370,888-81-3211,23,43,4/15/2013,4/18/2013,P
371,397-48-0756,4,49,11/27/2006,12/4/2006,L
372,582-56-2876,119,37,9/21/2019,9/24/2019,L
373,631-54-5151,74,73,1/7/2019,1/15/2019,U
374,771-69-0776,134,31,9/12/2005,9/18/2005,V
375,427-05-1534,20,66,6/4/2008,6/11/2008,D
376,423-86-3296,28,5,8/15/2014,8/17/2014,I
377,239-45-7534,141,42,8/20/2016,8/23/2016,A
378,495-60-8129,179,21,4/4/2013,4/12/2013,I
379,251-50-9461,184,65,4/26/2019,5/4/2019,Y
380,300-63-8232,107,94,1/20/1999,1/22/1999,Z
381,744-90-0019,44,76,5/28/2012,6/4/2012,W
382,786-28-5722,152,93,11/3/2017,11/8/2017,M
383,714-02-7396,59,78,10/6/2006,10/13/2006,N
384,121-14-0496,165,81,12/30/2014,1/6/2015,X
385,829-21-8933,81,90,6/15/2001,6/22/2001,g
386,267-14-4987,140,31,6/13/2021,6/17/2021,B
387,775-91-9031,51,96,2/11/2005,2/17/2005,H
388,553-83-6393,19,26,11/21/1999,11/29/1999,K
389,736-49-3332,36,8,7/7/2002,7/11/2002,G
390,161-74-6659,32,61,3/1/2002,3/3/2002,O
391,239-61-5987,31,72,3/31/2021,4/2/2021,B
392,118-65-2952,3,38,7/11/2009,7/16/2009,H
393,619-95-0355,136,75,12/17/2013,12/24/2013,H
394,454-39-6562,87,86,9/2/2002,9/4/2002,G
395,508-61-3847,177,67,6/10/2014,6/15/2014,U
396,188-38-3522,162,97,6/17/2015,6/23/2015,N
397,667-79-0078,144,38,4/8/2019,4/11/2019,O
398,878-74-6935,104,29,7/28/2009,8/2/2009,S
399,613-90-3138,183,6,5/20/2021,5/23/2021,V
400,414-62-5752,120,35,1/12/2002,1/15/2002,T
401,551-82-8808,173,56,4/23/2009,4/28/2009,Q
402,273-14-9234,91,75,12/26/2020,1/1/2021,R
403,520-99-9065,69,90,8/28/2017,9/2/2017,M
404,733-90-6191,25,6,4/30/2019,5/3/2019,T
405,471-74-1408,7,72,5/29/2016,5/31/2016,A
406,658-58-9612,121,27,3/24/2016,3/29/2016,L
407,565-21-1078,139,45,11/24/2009,11/30/2009,O
408,310-22-0622,168,92,11/22/2008,11/30/2008,F
409,763-95-0737,57,19,6/3/1999,6/11/1999,P
410,411-36-8384,196,78,3/3/2006,3/6/2006,N
411,466-89-5418,136,59,5/25/2004,5/29/2004,W
412,770-87-0214,112,21,5/23/2014,5/24/2014,R
413,565-10-0166,32,70,9/11/2008,9/13/2008,X
414,385-37-4947,91,76,11/15/2021,11/16/2021,H
415,199-29-8103,45,26,10/7/2006,10/10/2006,W
416,518-25-0034,57,21,1/19/1998,1/23/1998,E
417,560-95-3597,180,1,9/26/2002,10/4/2002,R
418,502-94-1470,66,83,8/28/2012,8/30/2012,S
419,317-09-0254,112,81,11/27/1998,12/5/1998,W
420,879-05-4701,189,59,5/9/2007,5/15/2007,Q
421,716-41-6232,149,94,3/20/2013,3/23/2013,F
422,500-32-9327,142,72,6/16/2016,6/17/2016,U
423,414-84-3654,99,74,10/30/2006,11/5/2006,F
424,793-72-7007,118,17,5/2/2013,5/3/2013,H
425,628-14-2347,75,94,7/16/2021,7/24/2021,Y
426,257-32-2074,159,88,7/6/2013,7/13/2013,F
427,596-07-8809,10,11,1/21/2021,1/29/2021,A
428,280-22-1687,180,31,2/4/1999,2/10/1999,E
429,470-71-0813,66,98,10/30/2004,11/2/2004,M
430,887-06-6051,168,23,9/1/2003,9/6/2003,M
431,444-03-0369,4,25,1/13/2015,1/15/2015,B
432,346-89-2994,120,70,5/14/2012,5/22/2012,P
433,514-33-1364,162,47,12/10/2017,12/17/2017,T
434,687-46-8390,180,27,8/1/2012,8/7/2012,O
435,206-62-2545,198,79,9/21/2009,9/29/2009,X
436,806-99-0545,192,21,11/28/2009,12/3/2009,Z
437,364-83-6180,66,9,10/6/2009,10/12/2009,G
438,386-06-9313,171,3,1/21/2002,1/25/2002,E
439,677-32-6642,96,62,3/8/2016,3/10/2016,Y
440,103-16-1964,162,38,12/5/2015,12/12/2015,D
441,261-11-5920,109,38,11/4/2012,11/6/2012,C
442,754-52-1507,21,38,6/7/2020,6/10/2020,W
443,766-45-6014,93,31,7/4/2020,7/7/2020,Q
444,320-33-2901,97,76,5/14/2003,5/16/2003,V
445,884-22-6123,183,53,7/4/2006,7/9/2006,O
446,475-60-3598,187,71,8/5/2021,8/11/2021,Y
447,661-43-2960,73,3,9/28/2017,10/1/2017,H
448,769-10-8772,31,91,9/4/2002,9/6/2002,U
449,683-11-1441,93,92,5/28/2007,5/31/2007,O
450,599-86-1914,91,79,6/3/2001,6/9/2001,C
451,258-87-2355,7,51,6/8/1998,6/11/1998,B
452,427-14-4226,128,49,10/5/2009,10/8/2009,R
453,850-41-9102,100,19,9/15/2012,9/21/2012,N
454,562-17-6252,69,62,3/18/2010,3/19/2010,J
455,170-80-4398,189,5,8/20/2011,8/24/2011,O
456,331-86-5584,30,47,5/30/2010,6/1/2010,Y
457,807-96-6268,62,9,6/28/1999,7/2/1999,O
458,215-22-4100,117,66,3/17/2001,3/20/2001,D
459,210-62-3908,113,49,8/6/2005,8/9/2005,U
460,606-70-0985,17,66,11/7/1999,11/9/1999,K
461,594-48-9239,161,7,2/14/2003,2/16/2003,X
462,101-34-6380,75,32,7/10/2012,7/15/2012,T
463,839-05-8759,199,33,6/4/2021,6/6/2021,I
464,222-66-5653,55,9,12/29/2005,12/30/2005,M
465,478-11-7933,140,58,5/4/2011,5/5/2011,H
466,349-47-6932,2,92,8/1/2011,8/5/2011,V
467,393-37-5881,62,99,3/7/2019,3/14/2019,T
468,832-33-2480,163,57,7/15/2014,7/22/2014,B
469,236-89-0898,136,67,5/27/2015,6/2/2015,V
470,451-96-0236,131,67,6/4/2012,6/8/2012,C
471,443-92-3566,9,32,7/9/2000,7/12/2000,E
472,872-79-4204,86,6,1/19/2000,1/27/2000,R
473,192-78-5701,100,84,1/28/2015,2/1/2015,E
474,876-66-7872,134,49,11/24/2000,11/30/2000,N
475,366-64-5717,107,13,5/23/2005,5/27/2005,X
476,636-24-7478,91,28,9/21/2020,9/25/2020,B
477,890-31-1399,75,7,10/27/2012,11/4/2012,J
478,479-59-6349,156,64,10/13/2004,10/18/2004,U
