stay_id,patient,room,start_time,end_time
74.0,544-04-4988,187.0,3/7/2021,2021-03-15
75.0,822-80-8375,134.0,3/20/2021,2021-03-24
76.0,300-63-8232,24.0,6/19/2021,2021-06-21
77.0,297-19-4735,77.0,11/4/2021,2021-11-07
78.0,614-55-4424,133.0,9/5/2021,2021-09-12
79.0,455-18-4954,144.0,11/11/2021,2021-11-18
80.0,679-26-3884,89.0,6/26/2021,2021-06-29
81.0,739-99-6339,105.0,12/26/2020,2020-12-30
82.0,130-44-6117,158.0,12/12/2020,2020-12-19
83.0,879-05-4701,247.0,12/21/2020,2020-12-27
84.0,448-43-1669,84.0,8/7/2021,2021-08-14
85.0,210-65-4460,65.0,2/3/2021,2021-02-04
86.0,802-66-9095,86.0,5/10/2021,2021-05-12
87.0,628-14-2977,136.0,11/7/2021,2021-11-13
88.0,625-65-3437,240.0,5/24/2021,2021-05-28
89.0,675-68-7376,89.0,11/25/2021,2021-11-29
90.0,381-83-5288,90.0,8/8/2021,2021-08-14
91.0,354-07-5572,152.0,4/22/2021,2021-04-23
92.0,513-72-4772,206.0,7/17/2021,2021-07-25
93.0,855-83-2732,158.0,5/31/2021,2021-06-01
94.0,199-13-1703,137.0,1/20/2021,2021-01-24
95.0,547-14-7616,132.0,4/28/2021,2021-05-03
96.0,185-81-0885,96.0,3/4/2021,2021-03-09
97.0,617-16-5374,99.0,8/7/2021,2021-08-09
98.0,504-36-4446,98.0,4/6/2021,2021-04-08
99.0,468-48-8278,107.0,12/2/2020,2020-12-04
100.0,739-41-1456,27.0,9/8/2021,2021-09-13
101.0,267-14-4987,28.0,8/10/2021,2021-08-18
102.0,201-18-7127,148.0,11/24/2021,2021-11-26
103.0,701-25-0315,14.0,10/6/2021,2021-10-10
104.0,478-34-5641,145.0,10/4/2021,2021-10-08
105.0,879-91-8782,138.0,1/18/2021,2021-01-26
106.0,153-69-6817,51.0,11/5/2021,2021-11-08
107.0,238-61-1402,107.0,11/6/2021,2021-11-14
108.0,496-78-6444,138.0,7/12/2021,2021-07-18
109.0,799-98-3060,109.0,4/17/2021,2021-04-23
110.0,819-03-9277,110.0,4/28/2021,2021-05-06
111.0,597-42-5496,200.0,3/20/2021,2021-03-25
112.0,574-95-5193,112.0,12/19/2020,2020-12-22
113.0,461-79-5265,108.0,8/26/2021,2021-08-28
114.0,726-27-6210,114.0,2/26/2021,2021-03-04
115.0,730-67-6237,46.0,2/7/2021,2021-02-10
116.0,183-77-1783,230.0,10/21/2021,2021-10-24
117.0,105-12-7321,148.0,4/12/2021,2021-04-15
118.0,663-58-3064,118.0,6/29/2021,2021-07-02
119.0,335-69-9994,103.0,4/2/2021,2021-04-07
120.0,225-76-6305,120.0,11/11/2021,2021-11-17
121.0,211-96-0442,121.0,1/29/2021,2021-02-04
122.0,289-76-1318,107.0,11/13/2021,2021-11-15
123.0,860-83-8404,123.0,8/2/2021,2021-08-07
124.0,261-20-4873,46.0,3/2/2021,2021-03-09
125.0,751-06-1342,125.0,12/26/2020,2020-12-28
126.0,751-06-1342,189.0,9/15/2021,2021-09-22
127.0,446-64-0161,127.0,7/8/2021,2021-07-09
128.0,561-89-5366,128.0,1/28/2021,2021-01-29
129.0,432-55-4860,243.0,5/31/2021,2021-06-01
130.0,770-87-0214,130.0,10/11/2021,2021-10-16
131.0,758-61-5065,122.0,5/28/2021,2021-06-04
132.0,158-18-9400,98.0,4/5/2021,2021-04-13
133.0,818-92-1197,171.0,3/8/2021,2021-03-15
134.0,461-79-5265,132.0,11/24/2021,2021-11-26
135.0,714-92-2070,135.0,5/12/2021,2021-05-18
136.0,538-26-4262,92.0,3/19/2021,2021-03-25
137.0,271-18-5144,45.0,6/20/2021,2021-06-22
138.0,883-83-2677,138.0,1/24/2021,2021-01-31
139.0,482-86-4849,139.0,2/12/2021,2021-02-20
140.0,461-39-8729,209.0,9/11/2021,2021-09-12
141.0,607-70-4612,233.0,9/24/2021,2021-09-25
142.0,304-28-0932,1.0,11/8/2021,2021-11-14
143.0,835-09-3311,122.0,7/2/2021,2021-07-08
144.0,626-04-8030,74.0,12/24/2020,2020-12-29
145.0,684-95-1408,13.0,7/1/2021,2021-07-03
146.0,860-83-8404,116.0,6/24/2021,2021-07-02
147.0,221-17-5094,174.0,5/28/2021,2021-06-01
148.0,739-41-1456,93.0,9/19/2021,2021-09-24
149.0,777-18-8169,42.0,4/11/2021,2021-04-12
150.0,683-81-7023,81.0,6/30/2021,2021-07-01
151.0,793-72-7007,125.0,10/1/2021,2021-10-09
152.0,403-06-9974,39.0,10/14/2021,2021-10-16
153.0,459-33-3456,204.0,9/11/2021,2021-09-17
154.0,470-26-0096,154.0,5/2/2021,2021-05-04
155.0,338-14-4894,155.0,11/19/2021,2021-11-25
156.0,448-23-7954,156.0,9/14/2021,2021-09-20
157.0,444-03-0369,10.0,8/2/2021,2021-08-07
158.0,261-20-4873,72.0,8/20/2021,2021-08-27
159.0,635-07-6833,159.0,3/31/2021,2021-04-04
160.0,720-95-5300,160.0,9/6/2021,2021-09-12
161.0,558-07-2871,225.0,7/28/2021,2021-08-05
162.0,657-98-5147,122.0,2/9/2021,2021-02-11
163.0,127-46-7874,36.0,4/23/2021,2021-04-27
164.0,487-35-8650,28.0,12/3/2020,2020-12-09
165.0,806-19-9936,203.0,11/4/2021,2021-11-12
166.0,135-74-8334,166.0,5/11/2021,2021-05-19
167.0,402-77-7311,167.0,12/15/2020,2020-12-21
168.0,752-97-9672,123.0,2/2/2021,2021-02-08
169.0,537-59-6562,172.0,12/14/2020,2020-12-16
170.0,489-41-1285,7.0,2/2/2021,2021-02-05
171.0,412-88-2523,171.0,8/26/2021,2021-08-29
172.0,605-11-9856,229.0,11/3/2021,2021-11-05
173.0,498-79-2897,173.0,4/2/2021,2021-04-07
174.0,230-77-7882,174.0,1/22/2021,2021-01-25
175.0,363-83-7603,199.0,4/4/2021,2021-04-05
176.0,617-16-5374,176.0,8/30/2021,2021-09-06
177.0,514-33-1364,128.0,12/26/2020,2021-01-01
178.0,583-56-1884,164.0,4/28/2021,2021-05-06
179.0,834-82-7510,213.0,3/31/2021,2021-04-04
180.0,785-23-1931,241.0,6/24/2021,2021-06-29
181.0,343-19-0001,217.0,2/18/2021,2021-02-21
182.0,378-05-9917,182.0,11/20/2021,2021-11-21
183.0,393-98-8553,179.0,11/24/2021,2021-11-29
184.0,753-24-1954,50.0,5/29/2021,2021-06-06
185.0,129-87-7029,136.0,2/3/2021,2021-02-05
186.0,556-43-0528,186.0,6/12/2021,2021-06-16
187.0,170-60-8590,124.0,11/20/2021,2021-11-25
188.0,393-98-8553,93.0,6/23/2021,2021-06-29
189.0,364-83-6180,208.0,1/1/2021,2021-01-07
190.0,763-95-0737,190.0,5/8/2021,2021-05-16
191.0,393-37-5881,149.0,2/5/2021,2021-02-06
192.0,582-56-2876,10.0,7/31/2021,2021-08-03
193.0,279-08-2499,85.0,7/25/2021,2021-08-02
194.0,894-57-6474,93.0,6/13/2021,2021-06-19
195.0,413-56-4162,98.0,12/20/2020,2020-12-23
196.0,534-86-8070,38.0,8/25/2021,2021-08-27
197.0,505-58-8306,197.0,6/27/2021,2021-06-30
198.0,737-52-6137,198.0,12/23/2020,2020-12-27
199.0,618-73-5603,203.0,2/8/2021,2021-02-16
200.0,668-33-3432,197.0,9/3/2021,2021-09-09
201.0,895-66-8487,65.0,2/3/2021,2021-02-06
202.0,802-39-0191,65.0,6/16/2021,2021-06-23
203.0,306-25-5216,223.0,9/28/2021,2021-09-29
204.0,293-55-6474,204.0,1/21/2021,2021-01-23
205.0,354-70-5518,182.0,12/22/2020,2020-12-26
206.0,164-43-5806,26.0,2/19/2021,2021-02-27
207.0,377-18-2405,132.0,9/26/2021,2021-10-01
208.0,653-13-6209,208.0,3/18/2021,2021-03-20
209.0,382-60-9432,209.0,8/30/2021,2021-09-06
210.0,226-42-2341,210.0,12/26/2020,2020-12-27
211.0,740-26-0935,39.0,9/11/2021,2021-09-12
212.0,304-28-0932,122.0,1/21/2021,2021-01-25
213.0,324-73-1688,213.0,7/14/2021,2021-07-22
214.0,408-57-0894,141.0,5/15/2021,2021-05-19
215.0,744-50-4151,100.0,9/24/2021,2021-09-28
216.0,752-97-9672,216.0,9/13/2021,2021-09-21
217.0,650-37-0850,216.0,3/7/2021,2021-03-10
218.0,834-82-7510,153.0,2/2/2021,2021-02-05
219.0,809-26-6184,82.0,9/3/2021,2021-09-08
220.0,730-67-6237,61.0,1/23/2021,2021-01-28
221.0,736-49-3332,221.0,10/31/2021,2021-11-04
222.0,154-29-0627,235.0,11/1/2021,2021-11-07
223.0,557-13-5418,223.0,11/13/2021,2021-11-20
224.0,408-17-1689,204.0,9/3/2021,2021-09-08
225.0,807-96-6268,163.0,6/30/2021,2021-07-05
226.0,317-09-0254,226.0,2/3/2021,2021-02-06
227.0,486-70-4749,151.0,11/16/2021,2021-11-18
228.0,217-16-2543,126.0,8/14/2021,2021-08-21
229.0,211-96-0442,225.0,4/29/2021,2021-05-01
230.0,420-40-0190,161.0,5/15/2021,2021-05-19
231.0,163-82-9537,231.0,10/3/2021,2021-10-06
232.0,522-31-6038,142.0,7/2/2021,2021-07-05
233.0,621-90-6264,233.0,6/3/2021,2021-06-08
234.0,801-31-5572,112.0,3/9/2021,2021-03-11
235.0,718-09-3565,235.0,8/15/2021,2021-08-19
236.0,429-35-0468,38.0,3/9/2021,2021-03-11
237.0,707-91-8461,220.0,10/5/2021,2021-10-06
238.0,197-17-9349,84.0,5/23/2021,2021-05-27
239.0,271-18-5144,239.0,5/26/2021,2021-05-29
240.0,173-70-9342,240.0,3/12/2021,2021-03-19
241.0,783-58-8049,164.0,8/5/2021,2021-08-08
242.0,551-34-5087,242.0,1/31/2021,2021-02-03
243.0,396-20-3645,213.0,3/29/2021,2021-03-30
244.0,851-56-0504,166.0,12/11/2020,2020-12-12
245.0,639-42-7594,245.0,2/1/2021,2021-02-02
246.0,202-15-4762,246.0,1/2/2021,2021-01-07
247.0,349-47-6932,2.0,6/22/2021,2021-06-25
248.0,277-48-8668,147.0,2/27/2021,2021-03-05
249.0,248-84-4883,141.0,11/4/2021,2021-11-07
250.0,514-33-1364,213.0,2/15/2021,2021-02-21
251.0,130-44-6117,238.0,3/8/2021,2021-03-10
252.0,515-79-7788,250.0,11/16/2021,2021-11-18
253.0,127-18-0789,253.0,2/26/2021,2021-03-02
254.0,202-15-4762,129.0,4/6/2021,2021-04-07
255.0,676-73-4613,186.0,12/3/2020,2020-12-09
256.0,596-67-0694,256.0,11/28/2020,2020-12-05
257.0,179-01-3010,141.0,1/8/2021,2021-01-14
258.0,219-40-1399,202.0,11/2/2021,2021-11-06
259.0,877-56-7009,259.0,8/23/2021,2021-08-30
260.0,130-44-6117,24.0,12/23/2020,2020-12-26
261.0,281-99-0210,261.0,6/18/2021,2021-06-24
262.0,613-12-8760,118.0,4/28/2021,2021-05-02
263.0,479-74-6570,128.0,8/8/2021,2021-08-12
264.0,256-41-9692,264.0,8/26/2021,2021-09-03
265.0,810-68-0178,189.0,1/23/2021,2021-01-30
266.0,888-81-3211,266.0,4/3/2021,2021-04-07
267.0,136-41-5507,58.0,12/28/2020,2021-01-01
268.0,185-81-0885,137.0,8/8/2021,2021-08-14
269.0,518-98-4656,141.0,10/26/2021,2021-11-03
270.0,510-49-0533,61.0,11/12/2021,2021-11-20
271.0,306-25-5216,249.0,10/14/2021,2021-10-15
272.0,567-20-0658,196.0,5/26/2021,2021-05-27
273.0,705-64-2921,273.0,2/20/2021,2021-02-25
274.0,431-42-8640,95.0,11/2/2021,2021-11-08
275.0,413-56-4162,231.0,2/3/2021,2021-02-04
276.0,270-96-9833,276.0,5/4/2021,2021-05-10
277.0,161-74-6659,212.0,9/17/2021,2021-09-19
278.0,783-58-8049,165.0,6/18/2021,2021-06-22
279.0,866-61-3614,86.0,12/15/2020,2020-12-21
280.0,755-13-9481,21.0,10/9/2021,2021-10-14
281.0,154-29-0627,281.0,6/26/2021,2021-06-29
282.0,613-90-3138,282.0,6/20/2021,2021-06-28
283.0,354-70-5518,225.0,5/29/2021,2021-06-04
284.0,212-98-1426,284.0,3/15/2021,2021-03-19
285.0,253-40-4800,243.0,2/7/2021,2021-02-08
286.0,313-46-3659,248.0,3/8/2021,2021-03-16
287.0,619-25-4549,202.0,4/18/2021,2021-04-20
288.0,473-53-0195,83.0,12/10/2020,2020-12-18
289.0,638-07-0950,230.0,10/28/2021,2021-11-03
290.0,377-43-5549,168.0,2/15/2021,2021-02-20
291.0,221-17-5094,51.0,9/4/2021,2021-09-09
292.0,431-42-8640,292.0,4/11/2021,2021-04-18
293.0,378-60-2301,250.0,7/16/2021,2021-07-22
294.0,251-50-9461,84.0,7/8/2021,2021-07-16
295.0,222-66-5653,44.0,4/12/2021,2021-04-19
296.0,599-47-0292,191.0,8/16/2021,2021-08-24
297.0,289-76-1318,9.0,11/26/2021,2021-12-01
298.0,776-30-8109,298.0,12/26/2020,2020-12-31
299.0,112-55-1297,115.0,1/10/2021,2021-01-18
300.0,304-58-9527,18.0,10/7/2021,2021-10-09
301.0,408-17-1689,301.0,6/27/2021,2021-07-03
302.0,606-42-8387,219.0,11/14/2021,2021-11-20
303.0,628-14-2347,6.0,10/4/2021,2021-10-08
304.0,448-43-1669,304.0,7/17/2021,2021-07-18
305.0,639-42-7594,100.0,3/29/2021,2021-04-02
306.0,310-75-9509,128.0,3/9/2021,2021-03-11
307.0,161-64-4660,20.0,3/16/2021,2021-03-21
308.0,651-25-7990,199.0,7/20/2021,2021-07-28
309.0,385-77-9158,309.0,9/28/2021,2021-10-06
310.0,823-76-8297,310.0,6/16/2021,2021-06-19
311.0,219-45-1191,149.0,9/29/2021,2021-10-03
312.0,170-60-8590,312.0,11/12/2021,2021-11-20
313.0,575-71-7633,81.0,10/21/2021,2021-10-26
314.0,275-99-0591,226.0,2/5/2021,2021-02-09
315.0,395-57-7223,168.0,10/21/2021,2021-10-25
316.0,689-21-6566,316.0,9/23/2021,2021-09-29
317.0,310-22-0622,13.0,9/29/2021,2021-10-04
318.0,145-36-0622,318.0,8/25/2021,2021-08-27
319.0,411-36-8384,319.0,8/30/2021,2021-09-07
320.0,689-96-3224,213.0,11/25/2021,2021-12-03
321.0,566-24-2545,120.0,4/4/2021,2021-04-05
322.0,623-19-3152,132.0,10/10/2021,2021-10-18
323.0,486-93-9695,323.0,4/30/2021,2021-05-05
324.0,382-66-5922,172.0,4/5/2021,2021-04-08
325.0,720-95-5300,325.0,7/18/2021,2021-07-22
326.0,808-29-7153,326.0,9/1/2021,2021-09-09
327.0,487-35-8650,218.0,3/7/2021,2021-03-14
328.0,409-27-4762,328.0,7/12/2021,2021-07-18
329.0,498-66-8802,4.0,8/27/2021,2021-08-31
330.0,893-35-6526,330.0,7/10/2021,2021-07-12
331.0,206-62-2545,202.0,4/19/2021,2021-04-27
332.0,861-65-0293,189.0,7/16/2021,2021-07-24
333.0,535-58-9745,333.0,1/11/2021,2021-01-14
334.0,364-14-4177,98.0,10/26/2021,2021-10-27
335.0,238-61-1402,186.0,12/1/2020,2020-12-02
336.0,659-89-0957,185.0,11/18/2021,2021-11-22
337.0,536-81-2337,87.0,10/3/2021,2021-10-07
338.0,309-90-0624,83.0,11/6/2021,2021-11-13
339.0,475-60-3598,247.0,2/4/2021,2021-02-10
340.0,735-91-2466,8.0,9/4/2021,2021-09-12
341.0,107-98-8275,59.0,9/17/2021,2021-09-19
342.0,593-28-3313,342.0,6/13/2021,2021-06-16
343.0,145-52-2937,27.0,9/25/2021,2021-09-26
344.0,182-61-0843,194.0,3/7/2021,2021-03-14
345.0,187-88-5885,345.0,11/24/2021,2021-11-30
346.0,339-41-0206,346.0,5/3/2021,2021-05-11
347.0,225-06-9109,89.0,11/11/2021,2021-11-13
348.0,758-61-5065,140.0,10/13/2021,2021-10-19
349.0,459-95-9629,68.0,10/4/2021,2021-10-12
350.0,652-93-8431,177.0,7/11/2021,2021-07-14
351.0,408-79-7801,28.0,10/23/2021,2021-10-28
352.0,277-48-8668,352.0,8/7/2021,2021-08-09
353.0,340-13-6121,353.0,8/1/2021,2021-08-09
354.0,766-45-6014,354.0,2/5/2021,2021-02-08
355.0,579-06-4268,355.0,5/13/2021,2021-05-15
356.0,257-75-1029,187.0,11/2/2021,2021-11-04
357.0,630-96-3328,357.0,3/6/2021,2021-03-07
358.0,770-87-0214,32.0,4/27/2021,2021-05-03
359.0,484-38-2833,95.0,7/27/2021,2021-07-31
360.0,236-22-6286,360.0,11/28/2020,2020-12-05
361.0,187-31-7915,179.0,3/16/2021,2021-03-24
362.0,477-33-8109,99.0,4/22/2021,2021-04-26
363.0,373-50-1029,363.0,8/5/2021,2021-08-12
364.0,556-85-8524,144.0,10/2/2021,2021-10-08
365.0,110-28-3575,365.0,8/13/2021,2021-08-14
366.0,572-63-3085,147.0,8/11/2021,2021-08-13
367.0,523-38-2229,169.0,4/15/2021,2021-04-21
368.0,195-77-2863,86.0,8/20/2021,2021-08-28
369.0,475-60-3598,172.0,1/27/2021,2021-01-28
370.0,445-13-5185,370.0,7/27/2021,2021-07-31
371.0,745-12-1807,237.0,6/12/2021,2021-06-19
372.0,785-25-8427,179.0,6/20/2021,2021-06-25
373.0,103-82-6341,373.0,1/16/2021,2021-01-18
374.0,319-29-4993,374.0,5/12/2021,2021-05-15
375.0,777-18-8169,151.0,11/19/2021,2021-11-27
376.0,835-07-1940,376.0,10/20/2021,2021-10-24
377.0,668-51-2787,377.0,12/4/2020,2020-12-10
378.0,678-88-5088,161.0,11/10/2021,2021-11-15
379.0,523-15-5164,150.0,4/10/2021,2021-04-12
380.0,475-34-1279,248.0,9/20/2021,2021-09-28
381.0,394-28-3901,168.0,7/22/2021,2021-07-27
382.0,254-61-3718,37.0,5/13/2021,2021-05-15
383.0,606-42-8387,181.0,5/6/2021,2021-05-12
384.0,819-76-9250,59.0,9/22/2021,2021-09-23
385.0,314-97-5931,24.0,3/18/2021,2021-03-19
386.0,386-43-9204,386.0,6/21/2021,2021-06-28
387.0,162-22-6158,145.0,2/16/2021,2021-02-24
388.0,492-85-2637,139.0,3/28/2021,2021-03-30
389.0,661-05-0483,389.0,11/9/2021,2021-11-11
390.0,653-13-6209,173.0,10/22/2021,2021-10-26
391.0,537-59-6562,181.0,8/11/2021,2021-08-13
392.0,832-33-2480,194.0,4/5/2021,2021-04-10
393.0,520-88-9937,148.0,7/27/2021,2021-07-31
394.0,330-99-8111,136.0,9/25/2021,2021-09-26
395.0,806-88-5996,231.0,9/23/2021,2021-09-24
396.0,768-20-5669,396.0,2/1/2021,2021-02-09
397.0,518-98-4656,66.0,11/23/2021,2021-11-27
398.0,614-55-4424,246.0,1/27/2021,2021-01-28
399.0,364-14-4177,213.0,1/20/2021,2021-01-22
400.0,775-91-9031,152.0,8/31/2021,2021-09-07
401.0,488-52-5538,401.0,5/28/2021,2021-05-29
402.0,648-27-5290,402.0,12/27/2020,2020-12-30
403.0,536-81-2337,403.0,10/22/2021,2021-10-28
404.0,768-20-5669,30.0,12/15/2020,2020-12-16
405.0,530-10-5647,216.0,1/26/2021,2021-01-31
406.0,733-90-6191,406.0,8/2/2021,2021-08-04
407.0,414-62-5752,89.0,4/14/2021,2021-04-16
408.0,306-25-5216,408.0,3/17/2021,2021-03-20
409.0,260-07-8361,409.0,2/12/2021,2021-02-18
410.0,777-18-8169,169.0,10/10/2021,2021-10-12
411.0,702-58-7484,96.0,10/4/2021,2021-10-08
412.0,694-32-3804,52.0,5/27/2021,2021-06-04
413.0,325-95-8565,229.0,8/9/2021,2021-08-13
414.0,687-97-8899,78.0,11/11/2021,2021-11-15
415.0,399-35-2118,415.0,11/24/2021,2021-11-30
416.0,701-25-0315,218.0,1/31/2021,2021-02-04
417.0,412-88-2523,417.0,8/21/2021,2021-08-27
418.0,266-43-0263,201.0,11/7/2021,2021-11-09
419.0,809-87-4414,419.0,7/21/2021,2021-07-24
420.0,277-48-8668,178.0,8/17/2021,2021-08-25
421.0,312-64-5541,165.0,10/30/2021,2021-11-01
422.0,275-99-0591,37.0,4/2/2021,2021-04-03
423.0,679-06-5879,423.0,1/17/2021,2021-01-25
424.0,499-28-4571,183.0,10/28/2021,2021-11-05
425.0,324-73-1688,165.0,8/20/2021,2021-08-23
426.0,366-64-5717,125.0,7/24/2021,2021-07-28
427.0,257-75-1029,58.0,2/15/2021,2021-02-22
428.0,324-73-1688,223.0,3/21/2021,2021-03-28
429.0,317-09-0254,82.0,11/19/2021,2021-11-25
430.0,366-94-3335,61.0,10/15/2021,2021-10-20
431.0,393-13-1155,4.0,1/26/2021,2021-01-29
432.0,727-57-1919,24.0,5/8/2021,2021-05-09
433.0,414-62-5752,433.0,10/2/2021,2021-10-07
434.0,567-20-0658,195.0,1/24/2021,2021-01-25
435.0,206-62-2545,224.0,12/13/2020,2020-12-15
436.0,806-19-0113,225.0,1/21/2021,2021-01-25
437.0,140-38-0005,149.0,7/16/2021,2021-07-17
438.0,615-33-3554,218.0,4/25/2021,2021-05-03
439.0,225-06-9109,171.0,1/29/2021,2021-02-04
440.0,114-70-2802,440.0,12/18/2020,2020-12-20
441.0,705-13-1332,163.0,9/15/2021,2021-09-19
442.0,567-20-0658,17.0,1/24/2021,2021-01-30
443.0,537-59-6562,443.0,1/30/2021,2021-02-07
444.0,295-97-2128,444.0,12/14/2020,2020-12-18
445.0,268-36-1553,445.0,7/11/2021,2021-07-12
446.0,868-41-1051,23.0,1/24/2021,2021-01-31
447.0,331-86-5584,447.0,2/13/2021,2021-02-18
448.0,346-89-2994,35.0,10/31/2021,2021-11-02
449.0,310-93-5608,173.0,7/4/2021,2021-07-08
450.0,498-20-8859,450.0,6/19/2021,2021-06-22
451.0,222-66-5653,451.0,11/7/2021,2021-11-09
452.0,528-87-8068,452.0,3/26/2021,2021-03-31
453.0,820-60-5295,453.0,9/19/2021,2021-09-27
454.0,645-51-2415,454.0,2/22/2021,2021-03-02
455.0,444-03-0369,89.0,1/30/2021,2021-02-05
456.0,305-67-0623,456.0,11/20/2021,2021-11-24
457.0,162-99-1186,457.0,3/4/2021,2021-03-09
458.0,594-15-5497,223.0,8/26/2021,2021-09-01
459.0,129-87-7029,101.0,8/25/2021,2021-08-26
460.0,200-87-8112,460.0,11/26/2021,2021-12-02
461.0,808-29-7153,231.0,4/5/2021,2021-04-10
462.0,137-48-1338,114.0,3/12/2021,2021-03-14
463.0,770-57-4955,463.0,8/7/2021,2021-08-09
464.0,628-43-0079,464.0,7/9/2021,2021-07-12
465.0,553-83-6393,465.0,9/8/2021,2021-09-11
466.0,694-32-3804,466.0,2/27/2021,2021-03-02
467.0,868-06-3476,2.0,12/23/2020,2020-12-24
468.0,770-87-0214,182.0,7/29/2021,2021-07-30
469.0,126-83-9541,204.0,7/11/2021,2021-07-12
470.0,395-57-7223,128.0,1/6/2021,2021-01-08
471.0,248-01-3551,3.0,6/20/2021,2021-06-25
472.0,348-97-5358,472.0,1/23/2021,2021-01-31
473.0,154-14-1625,218.0,7/6/2021,2021-07-14
474.0,201-18-7127,128.0,11/4/2021,2021-11-05
475.0,879-91-8782,108.0,3/14/2021,2021-03-18
476.0,238-61-1402,476.0,2/1/2021,2021-02-08
477.0,602-73-4421,477.0,1/28/2021,2021-02-03
478.0,580-54-0029,135.0,9/17/2021,2021-09-22
479.0,162-99-1186,479.0,12/7/2020,2020-12-11
480.0,187-13-9630,125.0,11/28/2020,2020-12-04
481.0,569-40-0040,7.0,1/1/2021,2021-01-07
