physician,patient,medication,date,appointment,dose
35,617-18-2740,16,10/30/2015,747,80
87,839-05-8759,96,5/6/2008,121,9
27,455-18-4954,170,7/18/2021,146,64
67,187-88-5885,45,4/21/2005,212,35
6,495-70-7486,27,5/18/2002,527,98
8,681-59-7601,5,7/7/2011,267,91
66,667-65-9739,194,11/15/2000,419,91
6,260-27-9452,150,7/28/2012,901,41
27,504-01-7248,136,11/4/2013,700,2
60,887-06-6051,25,4/15/2012,190,74
49,173-11-3791,28,3/18/2001,162,24
87,480-75-8167,84,12/9/2008,355,43
50,386-06-9313,137,7/29/2001,484,14
8,499-94-5388,200,6/3/2012,237,95
25,347-31-6000,81,10/23/2018,582,12
20,520-88-9937,178,3/31/2004,573,30
100,482-90-6520,155,2/16/2015,668,13
27,473-06-0166,108,5/4/2010,49,74
27,516-25-4368,67,9/11/2001,884,97
34,339-94-8580,75,7/23/2007,643,2
55,880-94-2299,49,3/13/2003,784,96
8,543-64-7762,52,2/26/2019,348,46
73,579-06-4268,77,1/25/2015,293,12
55,871-03-9339,197,7/17/2008,347,91
25,731-57-0019,132,2/10/2001,789,53
25,783-70-3100,139,7/1/2018,101,80
8,894-57-6474,158,6/29/2018,200,99
67,408-57-0894,50,3/5/2021,339,9
35,510-49-0533,183,10/26/2003,275,11
77,310-93-5608,99,4/1/2009,277,94
39,583-56-1884,98,7/11/2008,49,97
12,467-70-5039,132,7/11/2021,734,59
62,124-27-4746,177,12/27/1999,769,45
67,835-09-3311,185,6/28/2006,226,85
39,150-25-5831,186,4/14/2003,622,83
27,677-07-8216,26,3/30/2004,393,19
36,203-84-8576,46,11/24/2009,935,79
67,683-60-5570,105,4/2/2007,625,89
39,745-40-5267,58,1/10/2002,751,31
27,456-44-6934,146,3/4/2021,418,5
67,668-33-3432,71,2/19/2019,5,68
5,520-88-9937,69,5/24/2009,342,85
27,393-13-1155,64,12/31/2010,709,89
97,268-47-8569,70,7/1/2016,380,68
97,183-77-1783,33,2/14/2002,705,43
73,410-26-2006,116,6/24/2015,646,50
6,505-56-3360,49,12/23/2012,551,15
8,461-39-8729,113,8/30/2005,600,76
67,119-93-4835,108,8/16/1999,165,4
55,861-65-0293,123,5/13/2013,345,69
27,280-22-1687,86,8/7/2010,219,6
6,412-88-2523,39,4/28/2011,496,99
34,149-27-6956,182,12/19/2005,586,78
27,421-41-4464,159,6/30/1999,57,4
60,179-34-9952,184,5/24/2018,202,100
27,257-75-1029,83,6/15/2020,714,32
67,798-92-5146,174,7/29/2017,27,61
39,639-69-6991,148,11/23/2011,318,14
59,228-22-7352,186,5/15/2010,922,27
25,445-13-5185,152,5/19/2016,949,96
34,882-42-8387,77,3/6/1999,887,97
31,556-85-8524,190,9/30/1999,306,51
39,690-75-6196,13,4/28/2002,729,19
39,248-84-4883,13,5/2/2001,546,98
47,179-01-3010,173,5/18/2001,314,75
39,290-93-2741,121,3/8/2000,267,32
97,520-99-9065,191,4/2/2013,611,56
73,806-66-7839,79,2/21/2004,19,66
8,582-56-2876,124,5/30/2006,540,99
7,568-28-9045,50,1/28/2020,436,19
67,333-37-2934,107,8/10/2006,395,4
100,119-93-4835,135,7/27/2020,277,84
27,162-22-6158,47,2/23/1999,181,9
35,219-41-5075,90,7/12/2011,317,80
27,479-59-6349,29,7/26/2003,650,24
55,107-98-8275,76,5/29/2011,14,49
36,855-83-2732,172,1/12/2000,674,35
62,796-70-8932,100,9/25/2003,969,69
27,313-56-2998,46,4/6/2011,146,92
97,321-76-6170,168,2/28/2012,903,18
27,577-49-3673,196,2/25/2010,61,50
25,339-94-8580,161,10/23/2004,949,59
34,234-02-3099,126,4/18/1999,899,5
97,504-01-7248,151,8/5/2004,258,78
36,475-34-1279,43,11/26/2006,975,76
6,626-80-6600,93,9/4/2014,702,12
6,895-43-7667,5,4/7/1998,441,27
34,888-52-7112,77,4/7/2002,587,31
66,222-66-5653,65,3/24/2012,363,77
40,321-76-6170,71,11/25/2007,908,41
25,110-28-3575,147,5/12/2008,666,25
8,640-27-2002,22,9/10/2004,842,3
25,729-39-6570,195,7/3/2018,550,27
66,402-77-7311,18,7/20/1998,454,95
39,132-32-3332,54,3/2/2001,442,24
65,798-92-5146,18,11/22/2002,247,57
73,502-64-1355,86,6/28/2008,797,87
97,218-69-6802,195,12/28/2012,144,18
60,391-36-2238,4,11/3/1998,912,86
66,488-52-5538,187,6/6/2000,899,58
25,802-66-9095,129,10/1/2009,956,28
25,550-12-5084,54,8/13/2020,676,4
25,668-51-2787,147,1/5/2001,215,31
73,333-37-2934,145,3/16/2011,524,65
97,544-04-4988,187,7/15/2013,519,14
97,275-99-0591,74,5/9/2014,824,77
8,520-88-9937,199,11/20/2016,567,2
62,718-09-3565,176,9/25/1999,979,88
73,515-97-8303,60,5/14/2018,807,77
25,339-41-0206,110,5/20/1999,259,51
67,129-87-7029,22,3/26/2018,239,85
20,323-81-3050,154,5/3/2012,871,55
8,517-90-1570,138,11/20/2010,818,94
97,310-75-9509,173,6/11/2017,74,97
78,319-29-4993,147,4/26/2014,822,11
27,411-36-8384,79,6/17/2007,238,81
39,553-88-6959,150,1/25/2006,232,6
8,445-13-5185,23,4/9/2005,408,48
35,661-05-0483,110,10/27/2001,357,90
39,598-76-2134,96,8/17/2003,298,12
27,408-79-7801,133,2/2/2006,770,33
8,556-87-2838,142,7/10/2016,25,55
35,425-67-4082,190,9/21/2012,901,66
36,302-08-7113,89,11/7/2017,227,90
35,454-39-6562,160,4/11/2010,928,39
39,300-63-8232,62,1/10/2020,46,37
27,621-11-7525,83,11/9/2003,918,17
67,652-93-8431,145,3/5/2005,253,85
20,681-59-7601,79,7/7/2016,532,44
67,236-91-8312,78,2/15/2020,507,65
27,720-95-5300,166,2/10/2011,31,62
55,567-20-0658,14,10/29/2019,503,82
34,411-36-8384,152,2/5/2018,781,4
62,556-60-5405,6,11/1/2005,348,77
35,399-35-2118,197,4/8/2005,404,42
97,500-32-9327,39,4/4/2015,843,80
60,195-42-0872,108,11/9/2017,69,32
73,295-97-2128,111,6/6/2000,348,6
25,801-86-2021,18,11/17/1998,873,37
59,479-59-6349,57,11/5/2014,641,30
27,786-99-5431,127,4/3/2007,72,34
62,735-57-4658,168,6/22/1998,404,89
27,248-84-4883,90,2/21/2010,498,65
35,766-45-6014,42,6/30/2017,915,58
39,473-06-0166,133,3/2/2013,227,79
8,779-85-5230,16,6/30/2002,516,221
39,280-22-1687,17,12/10/2015,918,3
35,641-51-1890,81,11/5/2002,313,79
25,558-07-2871,58,12/14/2020,550,17
73,502-64-1355,198,9/16/2019,713,32
27,266-43-0263,60,9/8/2016,814,14
73,544-04-4988,155,4/6/1999,725,91
59,280-83-9977,109,9/25/2021,331,64
67,228-22-7352,153,11/28/2017,106,82
27,846-09-1800,63,4/12/2010,130,86
64,275-99-0591,181,7/26/2013,92,42
97,617-61-5646,104,5/13/2014,565,77
35,505-71-5603,58,3/23/2003,721,50
39,649-61-5215,135,7/1/2007,77,78
60,150-25-5831,196,2/13/2017,26,66
97,213-63-5532,62,3/8/2016,147,84
73,411-16-6120,143,4/25/2009,972,38
27,475-60-3598,2,6/9/2006,573,3
39,385-37-4947,113,9/12/2017,274,47
6,364-50-8938,20,6/16/2007,992,66
97,619-95-0355,194,3/27/2003,678,80
35,475-34-1279,30,2/18/2002,499,90
39,112-16-1512,6,6/23/2004,960,92
65,163-82-9537,58,1/9/2001,720,35
35,617-18-2740,143,1/5/2018,331,27
73,811-22-1375,43,11/13/2001,126,82
97,280-13-5270,33,9/17/2005,749,42
67,587-09-1324,85,7/8/2010,917,22
25,177-12-8396,65,7/12/2006,279,4
39,596-54-8960,80,5/12/2004,635,38
66,716-41-6232,87,4/21/2001,396,81
55,451-96-0236,158,11/12/2011,797,15
67,280-83-9977,32,2/23/2008,470,96
66,652-93-8431,141,1/4/2012,768,25
67,799-98-3060,134,10/7/2011,437,38
35,314-97-5931,132,6/4/2014,203,80
6,336-07-1343,113,1/5/2012,522,3
97,221-17-5094,51,9/29/2014,485,31
34,516-25-4368,45,4/18/2005,521,30
73,340-13-6121,101,3/22/2021,511,66
31,150-57-0620,104,9/6/2008,685,100
27,534-86-8070,98,2/21/2005,266,28
97,879-91-8782,85,3/17/2006,174,8
97,587-07-4206,51,5/24/2020,428,2
27,209-84-5629,184,7/15/2010,363,87
73,543-64-7762,162,10/26/2014,641,91
67,326-63-0249,136,2/4/2006,407,13
8,379-73-6965,34,6/6/2002,938,84
55,200-87-8112,31,4/21/2012,909,11
97,288-31-8617,34,8/16/2009,178,44
27,304-58-9527,101,1/8/1998,544,55
62,852-35-1571,107,12/16/2010,103,59
73,785-25-8427,157,7/28/2003,799,96
97,572-63-3085,139,3/5/2005,591,22
20,159-69-5007,1,2/15/2012,2,85
67,704-27-9497,122,6/24/2012,329,74
62,653-13-6209,41,4/8/2016,775,58
66,489-41-1285,68,12/29/2002,784,278
6,780-67-1215,183,3/10/2015,459,96
27,650-37-0850,52,12/3/2010,161,6
39,745-40-5267,129,1/4/1998,518,99
97,752-79-0977,76,12/11/2008,433,16
67,673-58-1470,131,2/15/2008,325,43
35,745-92-3426,8,3/18/2008,635,51
66,847-06-9064,38,6/15/2007,595,69
25,456-44-6934,184,4/22/2010,372,84
66,739-35-1140,164,2/2/2008,651,5
27,868-06-3476,80,3/13/2015,575,49
8,109-65-1710,1,2/27/2008,646,79
27,733-80-0500,116,10/7/2021,312,28
97,735-82-3826,166,7/7/2009,864,5
35,512-66-9604,58,11/14/2012,209,14
97,323-81-3050,70,3/10/2021,16,9
97,493-57-7041,45,7/29/2013,657,75
27,736-49-3332,139,6/5/2008,736,54
39,515-91-6810,47,1/6/2017,311,31
25,569-48-5837,117,11/15/2019,569,11
27,215-01-8008,164,11/19/1997,551,72
67,381-83-5288,92,6/14/2005,262,6
60,598-76-2134,57,7/2/2017,847,35
20,480-75-8167,66,3/28/2017,344,40
35,597-48-2305,65,10/4/2011,82,34
55,277-48-8668,86,11/2/1998,765,5
20,104-13-8898,104,5/21/2012,128,23
25,688-83-9934,98,5/7/2000,639,15
6,625-65-3437,152,3/18/2013,649,99
62,287-82-5946,64,5/11/2010,296,24
8,190-63-9200,97,4/2/2003,865,84
35,520-88-9937,141,9/5/2014,94,70
73,166-66-2897,87,2/12/2017,222,2
8,482-86-4849,112,11/6/1999,568,62
27,683-81-7023,46,5/20/2005,459,28
27,377-18-2405,105,3/8/1998,992,24
6,399-35-2118,49,3/25/2018,396,73
27,618-52-7728,92,1/27/2010,298,20
25,606-42-8387,33,4/19/2016,691,31
67,322-38-2591,105,6/4/2018,268,49
73,545-01-8900,170,12/7/2016,497,6
27,209-84-5629,8,3/15/1998,761,56
8,783-70-3100,35,4/17/2010,461,17
87,366-64-5717,144,12/1/2018,725,57
8,797-47-2882,68,1/6/2017,455,322
62,161-74-6659,54,5/3/2010,488,18
39,149-27-6956,56,3/29/1999,303,70
36,429-35-0468,194,1/12/2017,786,33
66,343-19-0001,1,6/23/2016,322,91
8,460-40-9581,79,5/19/2012,851,72
73,381-83-5288,165,11/13/2011,83,24
60,819-03-9277,83,5/25/1999,187,22
67,415-36-2271,96,9/6/2007,943,35
6,879-05-4701,143,2/8/1999,444,56
60,714-92-2070,17,9/5/2001,962,16
67,556-43-0528,128,1/9/2011,308,81
97,649-61-5215,98,9/16/2016,733,60
67,219-53-5828,51,8/29/2017,105,65
97,549-89-5203,114,1/8/2015,716,12
6,366-94-3977,121,4/22/2018,83,56
39,583-56-1884,178,3/27/2009,581,76
66,330-64-3938,178,2/25/2016,347,21
25,333-37-2934,67,9/27/2013,909,85
39,226-71-2989,132,11/24/1997,959,10
59,202-15-4762,116,7/9/2016,288,3
6,687-97-8899,90,6/5/2007,281,46
35,377-43-5549,127,9/23/2004,179,88
7,313-56-2998,126,6/30/1999,267,44
35,875-09-1450,195,8/26/2012,324,84
36,596-54-8960,176,10/25/2004,981,73
27,768-20-5669,185,1/27/1998,982,71
27,820-60-5295,118,8/4/2002,633,63
67,754-62-5809,87,7/4/2004,577,9
27,640-27-2002,47,1/27/2007,991,10
55,820-60-5295,25,10/30/2007,353,99
8,417-82-0380,156,3/8/2004,823,32
59,599-86-1914,53,6/19/2004,854,50
97,306-92-5681,25,11/16/2007,428,44
65,871-17-3951,19,5/4/2017,605,93
59,704-27-0956,146,4/1/2014,625,79
66,846-09-1800,190,8/28/2004,264,27
8,651-56-4187,121,11/14/2012,613,42
67,432-55-4860,77,11/1/2015,754,86
73,416-11-2445,9,10/5/2014,741,18
36,764-71-3970,116,2/18/2013,529,71
35,161-46-7864,146,4/15/2004,490,14
60,219-41-5075,68,11/20/2019,130,68
6,641-51-1890,157,6/1/2018,974,81
66,710-58-0469,3,8/4/2016,594,8
20,579-06-4268,44,8/13/2009,204,41
27,354-37-2606,23,2/21/2014,653,79
25,835-09-3311,107,1/17/2000,245,38
27,613-90-3138,57,9/7/2006,384,51
35,161-46-0294,200,6/23/2000,581,87
8,599-86-1914,12,6/23/2018,321,56
35,420-44-8822,34,7/3/2006,297,65
35,135-41-0659,39,9/9/2015,817,73
35,299-58-8863,185,6/11/2009,905,59
39,759-40-3494,85,10/5/2001,872,55
34,314-97-5931,24,6/25/2021,658,87
31,150-57-0620,72,2/29/2012,998,96
67,178-10-4674,15,8/22/2014,15,33
34,788-34-8808,74,9/24/2007,169,98
35,801-31-5572,114,9/6/2005,54,9
25,290-93-2741,105,9/12/2008,231,94
27,443-18-5565,55,7/3/2020,337,3
73,827-48-3136,62,3/11/2013,34,60
66,303-38-3463,29,5/16/2004,90,3
25,744-10-1287,178,2/20/2000,986,17
73,239-18-3663,46,3/10/2006,689,32
67,856-15-9835,152,10/9/2010,396,93
73,217-16-2543,132,2/28/2015,474,71
27,899-04-4263,160,4/6/2018,981,1
7,260-27-9452,184,10/7/2019,960,53
25,330-27-9817,11,6/12/2020,500,84
73,348-52-2997,200,8/9/2017,555,73
36,578-67-1036,94,8/6/2013,59,13
97,162-22-6158,59,8/24/2000,696,81
20,114-70-2802,5,8/8/2002,26,25
35,752-77-4954,99,3/11/2000,154,29
66,198-29-5818,198,3/27/2006,665,2
11,280-13-5270,102,9/29/2002,5,15
62,798-87-3690,185,7/29/2000,84,62
27,704-64-1696,96,11/13/2007,88,52
27,162-21-3882,159,5/13/2008,784,39
25,759-11-3665,104,10/12/2002,790,42
73,338-90-8782,113,2/27/1998,306,25
25,639-42-7594,16,2/24/1999,178,30
25,154-28-5398,31,9/19/2019,824,3
20,577-49-3673,91,9/23/2017,675,21
27,315-83-0917,194,6/7/2021,385,47
55,597-42-5496,27,11/6/2010,204,86
11,776-30-8109,116,2/18/2013,368,10
49,597-42-5496,138,2/19/2012,468,97
97,137-48-1338,64,6/6/2000,642,57
39,769-32-6981,179,2/8/2001,720,36
27,623-19-3152,189,10/31/2004,81,51
55,553-83-6393,91,12/14/2014,252,33
67,308-76-3298,36,7/1/2012,894,15
25,597-48-2305,114,2/25/2005,261,36
27,557-13-5418,196,12/21/2015,446,23
62,223-29-2837,124,11/9/2004,880,18
97,165-26-2646,141,5/14/2019,848,16
67,114-70-2802,66,2/19/2016,626,55
97,297-19-4735,5,2/8/2014,383,74
8,759-11-3665,151,3/24/2021,759,17
62,638-69-8503,192,6/12/2008,286,93
67,291-20-5847,109,7/15/2005,656,48
66,551-23-9089,52,7/14/2004,381,8
66,543-64-7762,194,3/1/2013,180,88
31,118-18-7466,39,1/18/2020,567,44
25,366-64-5717,118,10/1/2003,507,43
60,306-25-5216,62,6/4/2006,879,49
73,640-27-2002,135,2/23/2008,577,2
39,721-60-7921,33,7/10/2007,222,25
50,443-92-3566,184,3/3/2015,849,42
27,771-69-0776,93,4/17/2021,390,14
27,613-12-8760,71,11/6/2021,84,8
67,683-11-1441,170,3/16/1998,3,85
87,154-14-1625,21,8/26/2015,854,6
65,553-83-6393,23,12/23/2017,833,35
8,502-64-1355,66,1/7/2006,926,49
3,319-79-7406,125,1/18/2006,711,20
39,448-23-7954,141,9/23/2018,580,50
8,587-09-1324,196,10/21/2002,816,78
39,811-84-5998,48,1/7/2020,479,24
25,437-07-1323,70,6/5/2002,316,16
31,450-20-0438,81,11/2/2016,120,74
8,161-46-0294,33,2/5/1998,351,20
97,643-46-4552,139,1/7/2019,601,18
35,568-28-9045,84,5/22/2011,99,42
67,119-93-4835,48,7/23/2000,235,40
60,594-48-9239,94,6/21/2010,660,43
7,199-13-1703,150,9/11/2008,324,3
25,339-41-0206,11,6/14/1998,854,80
67,681-59-7601,10,4/10/2000,849,95
35,304-28-0932,14,11/12/2008,926,13
97,378-60-2301,88,7/16/2003,668,41
34,551-23-9089,88,4/8/2003,89,98
97,386-06-9313,70,6/4/2013,657,25
34,668-33-3432,110,10/20/2006,877,40
66,261-11-5920,97,4/10/2009,157,34
25,414-03-8620,93,1/13/2017,975,54
39,578-25-6897,157,1/12/1999,206,25
25,640-27-2002,110,4/17/2011,612,6
31,832-33-2480,104,8/23/2013,616,46
98,165-26-2646,52,4/13/2013,716,52
73,456-44-6934,100,8/25/1999,207,64
36,671-84-1242,149,8/16/2019,558,36
66,785-25-8427,156,10/9/2006,483,67
35,161-46-0294,195,11/24/2004,839,72
5,566-24-2545,166,10/1/2010,507,31
66,677-63-3788,43,2/7/2012,245,83
35,575-14-3728,22,4/22/2002,975,82
3,735-82-3826,128,7/12/2021,120,51
73,225-06-9109,163,3/17/2003,262,53
67,876-66-7872,42,1/20/2008,329,45
27,653-13-6209,153,9/3/2007,886,73
59,187-13-9630,118,10/9/2015,743,65
6,545-24-6612,83,11/11/2019,700,36
66,121-19-1174,171,9/17/2011,759,64
8,449-16-3990,104,12/24/2008,574,64
6,409-27-4762,86,6/8/2016,619,100
73,110-78-4129,100,12/1/2001,664,93
66,477-78-1067,29,3/5/2000,576,93
35,544-04-4988,89,4/8/2000,107,26
73,123-83-0529,146,8/15/2002,543,5
34,220-78-9278,132,11/15/2003,724,39
27,378-05-9917,131,9/23/2018,636,13
97,578-25-6897,86,3/4/2010,446,81
25,639-83-5820,72,10/3/2019,512,94
62,745-17-9823,135,3/16/2018,478,23
35,505-58-8306,153,12/2/2019,740,88
97,340-07-9858,120,9/12/2018,451,90
78,677-63-3788,65,12/25/2012,6,50
7,751-42-3796,134,11/5/2009,276,100
100,798-87-3690,151,6/25/2014,144,83
55,796-70-8932,179,1/14/2020,976,28
36,153-42-8438,43,12/11/2012,460,72
66,297-19-4735,143,12/11/2011,484,45
25,279-47-1825,146,8/22/2004,631,91
49,796-70-8932,176,9/15/2019,644,7
67,809-26-6184,137,4/4/2007,561,51
49,411-16-6120,53,1/28/2003,13,78
59,514-33-1364,195,11/13/2010,278,6
66,377-18-2405,193,7/23/2012,985,6
25,665-45-1846,82,9/23/2019,423,66
67,714-02-7396,50,8/3/2001,911,15
25,482-08-5595,57,8/17/2018,305,37
67,354-07-5572,104,10/4/2010,667,49
25,498-66-8802,29,2/19/1998,719,66
49,364-14-4177,153,1/15/2004,421,61
59,819-03-9277,177,7/8/2010,600,73
67,261-42-5061,75,1/5/1998,663,10
40,470-26-0096,90,12/7/2011,879,54
7,386-25-4320,118,9/19/2006,502,29
25,745-40-5267,133,6/11/2020,892,26
34,596-94-6937,175,8/22/2006,672,6
34,742-52-4169,160,8/7/2015,386,32
39,618-52-7728,22,7/7/2002,23,37
8,454-39-0668,160,8/29/2007,442,22
67,466-89-5418,28,10/16/2008,6,92
39,492-30-2647,100,8/6/2003,113,89
7,866-61-3614,152,6/21/2018,72,41
39,820-41-3530,200,9/30/2009,57,14
27,200-87-8112,57,2/15/1999,990,73
59,708-52-2945,45,4/25/2007,515,54
62,101-34-6380,154,5/4/2005,233,2
27,454-39-6562,133,2/1/2021,805,49
8,430-39-0939,38,8/19/2019,671,86
67,888-94-2915,158,1/30/2003,213,67
27,500-67-3209,39,5/19/2017,148,29
25,542-32-1875,168,3/27/1999,328,57
25,279-14-7966,44,11/28/2006,175,38
65,569-40-0040,149,2/3/2021,553,68
27,136-41-5507,37,12/17/2019,389,51
5,193-75-5474,167,5/13/2011,556,77
39,754-62-5809,56,2/12/2019,349,9
66,811-84-5998,86,6/27/2018,536,34
27,677-07-8216,30,5/11/1999,390,4
73,845-78-5523,183,1/8/2015,377,68
7,797-47-2882,168,1/27/2005,154,9
25,676-73-4613,140,4/23/2004,537,42
39,263-39-0197,158,4/19/2018,870,42
78,171-57-0120,55,7/15/2013,204,28
27,619-25-4549,192,4/26/2001,296,37
67,579-06-4268,64,2/10/2020,788,44
100,758-61-5065,13,9/16/2011,153,87
73,420-40-0190,3,9/6/2006,90,5
25,118-18-7466,107,11/18/2006,481,76
62,305-67-0623,122,7/7/2001,710,93
39,877-06-8036,77,9/20/2000,267,74
8,770-02-7118,105,5/7/2017,793,48
55,446-64-0161,117,10/15/2015,462,57
20,788-34-8808,5,1/30/2011,860,66
31,667-65-9739,149,10/3/2000,495,43
59,175-11-6511,116,10/23/2021,114,28
55,408-79-7801,97,4/27/2016,507,44
25,506-71-9394,140,1/26/2003,745,79
39,482-08-5595,101,5/5/2004,992,27
39,215-01-8008,94,7/3/2008,880,74
97,518-25-0034,72,10/24/1999,803,82
67,813-36-3949,27,2/14/2004,588,64
73,173-11-3791,83,3/21/2015,518,7
8,327-44-8312,113,1/13/2018,886,10
55,325-95-8565,9,7/30/1999,110,78
27,594-15-5497,132,4/8/2021,101,32
73,745-92-3426,95,6/8/2010,247,5
35,529-60-0970,162,8/25/2004,581,57
25,252-34-5724,108,8/29/2012,180,94
31,444-03-0369,118,12/23/2019,648,39
25,660-72-3454,64,7/16/2008,117,13
39,658-58-9612,7,1/13/2009,459,87
27,545-59-1281,65,12/13/2004,883,26
73,219-53-5828,78,6/8/2011,525,62
5,140-38-0005,153,2/5/2017,517,23
27,621-90-6264,138,8/27/2007,952,29
87,348-52-2997,136,7/13/2007,196,39
27,239-61-5987,145,2/18/2004,732,57
25,498-20-8859,36,5/4/2013,169,87
78,704-64-1696,157,5/8/2000,457,19
35,642-69-2689,194,6/17/2003,97,84
25,502-94-1470,13,1/18/2018,471,34
66,277-92-7343,48,1/6/2001,496,36
25,408-79-7801,61,9/10/2017,871,30
39,271-18-5144,91,7/4/2000,181,92
39,239-12-1405,131,8/24/2014,758,95
60,238-61-1402,184,10/15/2003,953,87
66,855-83-2732,97,5/25/2021,604,66
35,567-20-0658,38,9/10/2017,683,12
27,341-55-6931,156,11/21/2015,828,51
66,354-07-5572,163,10/12/2017,339,80
73,165-04-5356,90,12/31/2013,812,25
97,492-30-2647,21,5/20/2003,825,36
97,617-16-5374,54,7/27/2015,422,49
8,756-85-8523,196,10/18/2005,640,77
6,351-86-9776,148,8/15/2008,677,55
97,121-14-0496,98,5/7/2017,503,93
73,770-87-0214,82,2/11/2014,114,1
25,736-49-3332,128,12/19/2013,240,70
73,716-41-6232,172,6/22/2001,445,93
35,384-28-3938,169,10/27/2004,14,79
27,851-56-0504,164,2/24/2000,473,94
87,605-11-9856,85,7/9/2009,666,12
8,450-20-0438,1,4/7/2003,546,43
25,895-43-7667,108,1/3/2008,526,54
35,366-94-3977,172,5/11/2017,232,48
39,793-72-7007,87,10/22/2020,225,95
7,427-14-4226,14,1/20/2000,530,92
67,248-02-2795,182,3/9/2021,971,71
8,248-02-2795,191,8/9/2009,526,94
39,742-52-4169,72,11/8/2011,118,82
67,486-07-3554,90,3/24/2005,176,83
20,137-48-1338,139,6/17/2017,994,54
8,599-86-1914,130,7/5/2001,75,92
25,467-70-5039,105,2/7/2013,359,53
34,192-78-5701,110,4/19/2006,248,1
8,661-51-4435,181,7/28/2014,885,44
34,210-65-4460,31,10/18/2017,393,42
36,415-36-2271,101,1/30/2009,21,44
34,393-84-4731,104,9/23/2017,93,95
66,445-13-5185,65,9/29/2020,731,71
27,739-99-6339,168,5/22/2007,847,90
57,785-23-1931,64,9/21/2001,594,88
6,643-46-4552,76,5/4/2010,28,79
35,752-97-9672,71,11/9/2002,21,86
55,236-20-7442,119,9/24/2019,229,96
97,602-73-4421,95,12/12/2009,321,62
39,882-42-8387,124,6/24/2009,272,11
66,574-95-5193,94,1/14/2011,605,69
100,683-66-0379,145,3/12/2018,831,77
25,234-02-3099,5,12/19/2003,583,6
67,116-60-9580,148,8/21/2004,255,18
39,556-87-2838,105,3/3/2007,424,98
66,236-91-8312,185,12/15/1999,241,45
73,257-75-1029,156,1/19/2014,360,26
67,172-24-5299,115,1/31/2005,500,44
