employee_id,name,position,ssn
122,Benton Casetta,Advanced practice registered nurses (APRNs),288-64-8220
123,Jordain Gallatly,Nursing assistant (CNA),752-44-1638
124,Meridith Garci,Licensed practical nurse (LPN),348-81-2315
125,Martita Berre,Registered nurse (RN),683-52-3320
126,Amargo Golson,Advanced practice registered nurses (APRNs),524-39-0396
127,Betti MacDearmaid,Advanced practice registered nurses (APRNs),510-04-0124
128,Wilden Denham,Licensed practical nurse (LPN),659-75-0369
129,Haze Bill,Registered nurse (RN),399-10-7255
130,Chastity Starte,Registered nurse (RN),187-02-1683
131,Birdie Abercromby,Nursing assistant (CNA),189-02-4253
132,Peggi Tillyer,Registered nurse (RN),734-99-0246
133,Caren Greenall,Licensed practical nurse (LPN),203-89-6054
134,Tannie Dacres,Registered nurse (RN),540-28-3514
135,Wendie Deval,Advanced practice registered nurses (APRNs),651-41-3000
136,Viviene Kitcher,Licensed practical nurse (LPN),560-92-9272
137,Ailey Scambler,Licensed practical nurse (LPN),755-31-5396
138,Claudine Beany,Advanced practice registered nurses (APRNs),291-52-2690
139,Harriot Bewshire,Advanced practice registered nurses (APRNs),883-48-4678
140,Simonne Trebilcock,Licensed practical nurse (LPN),404-74-4623
141,Park Denerley,Registered nurse (RN),617-37-9890
142,Tonnie McNae,Licensed practical nurse (LPN),323-44-2790
143,Bernadette Rayson,Registered nurse (RN),285-55-4498
144,Emyle Milier,Nursing assistant (CNA),331-93-0367
145,Enriqueta MacSorley,Nursing assistant (CNA),807-75-7384
146,Edy Hymer,Licensed practical nurse (LPN),504-39-9822
147,Jo-ann Heathorn,Licensed practical nurse (LPN),352-20-2665
148,Catie Ricket,Nursing assistant (CNA),470-06-2084
149,Marijo Bricksey,Registered nurse (RN),812-23-5658
150,Imogen Paddington,Advanced practice registered nurses (APRNs),570-74-9420
151,Travers Shellard,Registered nurse (RN),499-59-7872
152,Ermanno Vondrak,Nursing assistant (CNA),328-63-3393
153,Nathaniel Barrett,Advanced practice registered nurses (APRNs),311-10-9478
154,Balduin Hamley,Licensed practical nurse (LPN),606-12-0428
155,Rozalie Grigoryev,Registered nurse (RN),618-79-7885
156,Sean Roelofsen,Nursing assistant (CNA),537-97-2594
157,Guntar Breton,Advanced practice registered nurses (APRNs),105-09-8069
158,Alexina Deerr,Advanced practice registered nurses (APRNs),247-11-9391
159,Allard Rohlfing,Registered nurse (RN),626-20-1079
160,Philis Pegler,Licensed practical nurse (LPN),255-18-7794
161,Tobye Embury,Licensed practical nurse (LPN),792-14-7842
162,Sarene Stagge,Nursing assistant (CNA),249-18-0901
163,Ernest Josilevich,Licensed practical nurse (LPN),809-29-1695
164,Tully Aspinal,Nursing assistant (CNA),324-64-5358
165,Debbi Mosedill,Registered nurse (RN),623-86-3049
166,Faun Oldroyde,Licensed practical nurse (LPN),479-23-2641
167,Arabel Rivelon,Nursing assistant (CNA),427-03-9706
168,David Landa,Nursing assistant (CNA),478-32-6853
169,Tiffany Leveret,Registered nurse (RN),477-98-9280
170,Nerita Downage,Registered nurse (RN),826-55-0135
171,Manny Hayden,Registered nurse (RN),138-75-6075
172,Muriel Clere,Nursing assistant (CNA),383-23-3750
173,Sigmund Pagitt,Advanced practice registered nurses (APRNs),383-31-1809
174,Xena Brightling,Licensed practical nurse (LPN),472-76-5390
175,Janith Gunderson,Registered nurse (RN),727-70-7836
176,Wallie Pavlenko,Nursing assistant (CNA),340-98-0250
177,Son Wasling,Advanced practice registered nurses (APRNs),335-71-3773
178,Danny Juszczyk,Nursing assistant (CNA),496-62-8639
179,Bernice Matiewe,Advanced practice registered nurses (APRNs),367-80-3431
180,Stoddard Riddich,Advanced practice registered nurses (APRNs),113-88-4259
181,Dacey Tuke,Registered nurse (RN),648-87-9992
182,Libbie Dewes,Advanced practice registered nurses (APRNs),167-60-8781
183,Nickolaus Sabbatier,Nursing assistant (CNA),235-95-5415
184,Jessie Brikner,Licensed practical nurse (LPN),673-17-7999
185,Aridatha Andrini,Registered nurse (RN),394-90-8249
186,Darda Flacknoe,Licensed practical nurse (LPN),477-78-3940
187,Rabi Hartles,Nursing assistant (CNA),826-90-3949
188,Aimee Bourke,Registered nurse (RN),404-60-8998
189,Twyla Myring,Advanced practice registered nurses (APRNs),395-41-8207
190,Vail Limon,Nursing assistant (CNA),595-63-1188
191,Vincent Inkles,Licensed practical nurse (LPN),796-39-7749
192,Lissie Oades,Licensed practical nurse (LPN),658-85-5673
193,Leanna Gallaccio,Advanced practice registered nurses (APRNs),777-81-9282
194,Christel Jessope,Registered nurse (RN),431-73-5234
195,Susanne Yakuntzov,Advanced practice registered nurses (APRNs),198-51-4998
196,Derril Berringer,Advanced practice registered nurses (APRNs),273-19-0017
197,Sally Stapylton,Registered nurse (RN),537-74-7278
198,Gustave Ivan,Registered nurse (RN),268-57-6008
199,Myrle Casseldine,Registered nurse (RN),793-32-1594
200,Rivkah Costello,Licensed practical nurse (LPN),113-10-3048
